Age,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
85,29208.0,33357.0,52800.0,58674.0,,,,,226914.0,319262.0,390834.0,514834.0,648870.0,761148.0,893754.0
85 +,95408.0,134122.0,188000.0,249923.0,300291.0,390800.0,529370.0,785247.0,,,,2877000.0,3853000.0,,
86,20358.0,28514.0,39800.0,49584.0,,,,,189128.0,272306.0,357076.0,380019.0,547394.0,695443.0,794162.0
87,13296.0,23821.0,31100.0,38559.0,,,,,168327.0,225279.0,305379.0,354614.0,472872.0,624443.0,739149.0
88,9450.0,14510.0,23200.0,29601.0,,,,,137602.0,187097.0,263509.0,317236.0,411987.0,551611.0,662252.0
89,6741.0,11153.0,13600.0,22740.0,,,,,111079.0,132879.0,215525.0,282557.0,351465.0,484612.0,580506.0
90,5147.0,8800.0,9900.0,15802.0,,,,,82892.0,113845.0,179821.0,238830.0,316840.0,402687.0,493824.0
91,3455.0,5398.0,8600.0,11599.0,,,,,60798.0,88487.0,142477.0,205486.0,219756.0,322228.0,425042.0
92,2510.0,3115.0,5900.0,8435.0,,,,,47454.0,71960.0,109402.0,165193.0,192863.0,262599.0,358386.0
93,1778.0,2020.0,2700.0,6217.0,,,,,33525.0,54030.0,84061.0,131771.0,160027.0,202949.0,277613.0
94,1257.0,1287.0,1600.0,4660.0,,,,,23250.0,39480.0,54520.0,99590.0,132221.0,158657.0,224151.0
95,929.0,832.0,1000.0,1580.0,,,,,15613.0,26361.0,42429.0,75580.0,97626.0,131322.0,169988.0
96,686.0,528.0,500.0,1064.0,,,,,9943.0,17496.0,29798.0,54915.0,77372.0,81927.0,123057.0
97,255.0,320.0,200.0,711.0,,,,,6348.0,12536.0,21687.0,38156.0,55845.0,64126.0,90075.0
98,151.0,212.0,100.0,284.0,,,,,3962.0,7742.0,14648.0,26778.0,39826.0,47359.0,64897.0
99,90.0,97.0,0.0,199.0,,,,,2356.0,6176.0,9926.0,15792.0,26087.0,34613.0,44707.0
100 +,97.0,158.0,300.0,214.0,,,,1758.0,3223.0,4809.0,12256.0,25353.0,43882.0,61763.0,79523.0
