Country or Area,Year,Area,Sex,Age,Record Type,Reliability,Source Year,Value,Value Footnotes
China,2020,Total,Both Sexes,96,Census - de jure - complete tabulation,"Final figure, complete",2024,206218,"1,2"
China,2020,Total,Both Sexes,97,Census - de jure - complete tabulation,"Final figure, complete",2024,143736,"1,2"
China,2020,Total,Both Sexes,98,Census - de jure - complete tabulation,"Final figure, complete",2024,100616,"1,2"
China,2020,Total,Both Sexes,99,Census - de jure - complete tabulation,"Final figure, complete",2024,79470,"1,2"
China,2020,Total,Both Sexes,100 +,Census - de jure - complete tabulation,"Final figure, complete",2024,118866,"1,2"
China,2020,Total,Male,Total,Census - de jure - complete tabulation,"Final figure, complete",2024,721416394,"1,2"
China,2020,Total,Male,0,Census - de jure - complete tabulation,"Final figure, complete",2024,6312409,"1,2"
China,2020,Total,Male,0 - 4,Census - de jure - complete tabulation,"Final figure, complete",2024,40969331,"1,2"
China,2020,Total,Male,1,Census - de jure - complete tabulation,"Final figure, complete",2024,7559981,"1,2"
China,2020,Total,Male,2,Census - de jure - complete tabulation,"Final figure, complete",2024,8020423,"1,2"
China,2020,Total,Male,3,Census - de jure - complete tabulation,"Final figure, complete",2024,9670005,"1,2"
China,2020,Total,Male,4,Census - de jure - complete tabulation,"Final figure, complete",2024,9406513,"1,2"
China,2020,Total,Male,5,Census - de jure - complete tabulation,"Final figure, complete",2024,8765848,"1,2"
China,2020,Total,Male,5 - 9,Census - de jure - complete tabulation,"Final figure, complete",2024,48017458,"1,2"
China,2020,Total,Male,6,Census - de jure - complete tabulation,"Final figure, complete",2024,9881523,"1,2"
China,2020,Total,Male,7,Census - de jure - complete tabulation,"Final figure, complete",2024,9548981,"1,2"
China,2020,Total,Male,8,Census - de jure - complete tabulation,"Final figure, complete",2024,10317678,"1,2"
China,2020,Total,Male,9,Census - de jure - complete tabulation,"Final figure, complete",2024,9503428,"1,2"
China,2020,Total,Male,10,Census - de jure - complete tabulation,"Final figure, complete",2024,9285412,"1,2"
China,2020,Total,Male,10 - 14,Census - de jure - complete tabulation,"Final figure, complete",2024,45606790,"1,2"
China,2020,Total,Male,11,Census - de jure - complete tabulation,"Final figure, complete",2024,9462024,"1,2"
China,2020,Total,Male,12,Census - de jure - complete tabulation,"Final figure, complete",2024,9279079,"1,2"
China,2020,Total,Male,13,Census - de jure - complete tabulation,"Final figure, complete",2024,8920655,"1,2"
China,2020,Total,Male,14,Census - de jure - complete tabulation,"Final figure, complete",2024,8659620,"1,2"
China,2020,Total,Male,15,Census - de jure - complete tabulation,"Final figure, complete",2024,8225995,"1,2"
China,2020,Total,Male,15 - 19,Census - de jure - complete tabulation,"Final figure, complete",2024,39053343,"1,2"
China,2020,Total,Male,16,Census - de jure - complete tabulation,"Final figure, complete",2024,8195908,"1,2"
China,2020,Total,Male,17,Census - de jure - complete tabulation,"Final figure, complete",2024,7401041,"1,2"
